[S-27C] [Kaldi] [0] [0.22025316455696203] S:[49], I:[7], D:[31]
[S-27C] [Google] [1] [0.29523809523809524] S:[31], I:[2], D:[60]
[S-27C] [Kaldi] [1] [0.1619047619047619] S:[26], I:[7], D:[18]
[S-27C] [Google] [2] [0.3667621776504298] S:[38], I:[2], D:[88]
[S-27C] [Kaldi] [2] [0.15759312320916904] S:[38], I:[4], D:[13]
[S-27C] [Google] [3] [0.36086956521739133] S:[50], I:[9], D:[107]
[S-27C] [Kaldi] [3] [0.19782608695652174] S:[46], I:[13], D:[32]
[S-27C] [Google] [4] [0.3561430793157076] S:[91], I:[3], D:[135]
[S-27C] [Kaldi] [4] [0.16018662519440124] S:[57], I:[6], D:[40]
[S-27C] [Google] [5] [0.3323045267489712] S:[128], I:[6], D:[189]
[S-27C] [Kaldi] [5] [0.21502057613168724] S:[123], I:[11], D:[75]
[S-27C] [Google] [6] [0.38311688311688313] S:[17], I:[0], D:[42]
[S-27C] [Kaldi] [6] [0.22077922077922077] S:[15], I:[2], D:[17]
[S-27C] [Google] [7] [0.2641509433962264] S:[4], I:[0], D:[10]
[S-27C] [Kaldi] [7] [0.11320754716981132] S:[3], I:[0], D:[3]
[S-27C] [Google] [8] [0.4639175257731959] S:[21], I:[0], D:[24]
[S-27C] [Kaldi] [8] [0.28865979381443296] S:[18], I:[3], D:[7]
[S-27C] [Google] [9] [0.35185185185185186] S:[9], I:[3], D:[26]
[S-27C] [Kaldi] [9] [0.21296296296296297] S:[13], I:[3], D:[7]
[S-27C] [Google] [10] [0.4222222222222222] S:[7], I:[0], D:[12]
[S-27C] [Kaldi] [10] [0.3111111111111111] S:[8], I:[0], D:[6]
[S-27C] [Google] [11] [0.45098039215686275] S:[14], I:[1], D:[31]
[S-27C] [Kaldi] [11] [0.2647058823529412] S:[12], I:[0], D:[15]
[S-23C] [Google] [0] [0.3151515151515151] S:[26], I:[0], D:[26]
[S-23C] [Kaldi] [0] [0.19393939393939394] S:[24], I:[1], D:[7]
[S-23C] [Google] [1] [0.45365853658536587] S:[48], I:[1], D:[44]
